Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Salary,WS_per_G,OWS_per_G,DWS_per_G,AST_TOV,OWS_div_USG,TS_times_USG,bigmanD,foul_rate,three_rate,PTs_per_36,PF_per_dplay,FG_TOV,two_way
Austin Reaves,SG,24,LAL,64,22,28.8,4.0,7.7,0.529,1.3,3.4,0.398,2.7,4.3,0.631,0.616,3.6,4.1,0.864,0.5,2.5,3.0,3.4,0.5,0.3,1.5,1.7,13.0,14.9,0.687,0.441,0.541,2.0,9.0,5.6,15.7,0.8,0.9,14.0,16.2,4.1,1.4,5.4,0.142,0.6,0.1,0.7,1.2,1.563518,8.4375,6.406249999999999,2.1875,2.2666666666666666,0.25308641975308643,11.1294,0.11458333333333333,0.059027777777777776,30.630630630630627,16.25,2.125,3.533333333333333,32.59375
Cam Reddish,SF,23,TOT,40,20,24.8,3.5,7.8,0.446,1.1,3.6,0.313,2.4,4.2,0.56,0.518,1.6,1.9,0.853,0.5,1.8,2.2,1.4,1.0,0.4,1.2,1.8,9.7,10.6,0.561,0.462,0.24,2.0,8.1,5.0,8.1,1.9,1.3,12.0,17.1,0.3,0.7,0.9,0.046,-2.6,-0.8,-3.4,-0.4,5.954454,2.25,0.75,1.7499999999999998,1.1666666666666667,0.017543859649122806,9.593100000000002,0.12903225806451613,0.07258064516129033,31.57894736842105,14.080645161290322,1.2857142857142858,3.833333333333333,18.549999999999997
Davon Reed,SG,27,TOT,43,1,8.0,0.7,2.0,0.333,0.4,1.1,0.37,0.3,0.9,0.289,0.435,0.4,0.6,0.667,0.2,1.1,1.4,0.5,0.3,0.1,0.5,0.9,2.1,6.2,0.471,0.548,0.286,3.4,16.0,9.9,8.2,2.1,1.0,17.5,14.5,-0.4,0.4,0.1,0.008,-5.4,0.0,-5.3,-0.3,1.902133,0.23255813953488372,-0.9302325581395349,0.9302325581395349,1.0,-0.027586206896551727,6.8294999999999995,0.1875,0.1125,35.483870967741936,9.450000000000001,2.25,2.2,5.767441860465117
Paul Reed,C,23,PHI,69,2,10.9,1.8,3.0,0.593,0.0,0.1,0.167,1.8,2.9,0.606,0.596,0.6,0.7,0.745,1.6,2.2,3.8,0.4,0.7,0.7,0.7,1.8,4.2,19.2,0.62,0.029,0.244,17.8,23.1,20.5,5.3,3.0,6.3,16.3,16.4,1.2,1.6,2.8,0.18,-1.6,1.5,-0.1,0.4,1.782621,4.057971014492753,1.7391304347826086,2.318840579710145,0.5714285714285715,0.07317073170731708,10.168,0.3302752293577982,0.1651376146788991,3.225806451612903,13.871559633027523,1.2857142857142858,2.5714285714285716,44.52173913043478
Naz Reid,C,23,MIN,68,11,18.4,4.6,8.5,0.537,1.1,3.2,0.346,3.5,5.3,0.653,0.602,1.3,1.9,0.677,1.1,3.8,4.9,1.1,0.6,0.8,1.4,2.6,11.5,18.5,0.617,0.376,0.22,6.6,22.8,14.9,9.6,1.6,3.7,12.7,24.8,1.1,1.9,3.0,0.114,0.3,0.8,1.0,1.0,1.930681,4.411764705882353,1.6176470588235297,2.7941176470588234,0.7857142857142858,0.04435483870967742,15.3016,0.2826086956521739,0.14130434782608697,27.350427350427353,22.5,1.8571428571428574,4.071428571428571,51.69117647058823
Nick Richards,C,25,CHO,65,9,18.7,3.0,4.8,0.629,0.0,0.0,1.0,3.0,4.8,0.628,0.631,2.1,2.8,0.749,2.3,4.1,6.4,0.6,0.2,1.1,0.9,2.4,8.2,18.3,0.676,0.003,0.585,12.6,24.0,18.2,4.5,0.4,5.1,13.0,15.6,2.7,1.5,4.2,0.165,-1.0,-0.2,-1.3,0.2,1.782621,6.461538461538462,4.153846153846154,2.307692307692308,0.6666666666666666,0.1730769230769231,10.5456,0.2887700534759358,0.12834224598930483,0.0,15.786096256684491,1.846153846153846,3.333333333333333,42.23076923076923
Josh Richardson,SG,29,TOT,65,10,23.5,3.7,8.5,0.431,1.6,4.5,0.365,2.0,4.0,0.506,0.528,1.1,1.2,0.852,0.6,2.1,2.7,2.7,1.1,0.3,1.3,1.8,10.1,12.3,0.555,0.529,0.146,2.9,9.9,6.3,15.8,2.2,1.2,12.7,18.4,0.6,1.1,1.8,0.055,-1.0,-0.1,-1.2,0.3,12.196094,2.769230769230769,0.923076923076923,1.6923076923076925,2.076923076923077,0.03260869565217391,10.212,0.14893617021276595,0.07659574468085106,34.61538461538461,15.472340425531915,1.2857142857142856,4.0769230769230775,20.81538461538462
Austin Rivers,SG,30,MIN,52,10,19.5,1.8,4.0,0.435,0.8,2.4,0.35,0.9,1.7,0.558,0.538,0.6,0.8,0.769,0.1,1.5,1.6,1.4,0.5,0.1,0.4,1.5,4.9,7.4,0.564,0.589,0.187,0.6,8.4,4.6,9.3,1.3,0.3,9.2,10.5,0.5,0.8,1.3,0.061,-3.3,0.5,-2.8,-0.2,1.83609,2.5,0.9615384615384616,1.5384615384615385,3.4999999999999996,0.047619047619047616,5.922,0.1076923076923077,0.07692307692307693,37.49999999999999,9.046153846153846,2.5,6.5,11.384615384615385
Duncan Robinson,SF,28,MIA,42,1,16.5,2.1,5.6,0.371,1.5,4.6,0.328,0.6,1.1,0.556,0.504,0.7,0.8,0.906,0.2,1.5,1.6,1.1,0.3,0.0,0.7,1.8,6.4,7.8,0.534,0.81,0.135,1.3,10.7,5.9,9.7,1.0,0.0,10.0,17.9,-0.1,0.6,0.5,0.035,-3.5,-1.5,-5.0,-0.5,16.902,1.1904761904761905,-0.2380952380952381,1.4285714285714286,1.5714285714285716,-0.005586592178770951,9.5586,0.1090909090909091,0.1090909090909091,45.09803921568628,13.963636363636363,6.0,5.142857142857143,11.142857142857142
Mitchell Robinson,C,24,NYK,59,58,27.0,3.2,4.7,0.671,0.0,0.0,0.15,3.2,4.7,0.671,0.671,1.0,2.1,0.484,4.5,4.9,9.4,0.9,0.9,1.8,0.7,2.7,7.4,18.9,0.652,0.0,0.436,18.4,20.0,19.2,4.5,1.7,6.5,10.9,10.1,4.0,2.6,6.5,0.198,1.0,1.4,2.4,1.7,17.045454,11.016949152542372,6.779661016949152,4.406779661016949,1.2857142857142858,0.39603960396039606,6.5852,0.2814814814814815,0.1,0.0,9.866666666666667,1.0,4.571428571428572,83.28813559322033
Orlando Robinson,C,22,MIA,31,1,13.7,1.5,2.9,0.528,0.0,0.2,0.0,1.5,2.7,0.566,0.528,0.7,1.0,0.71,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,3.7,13.4,0.565,0.067,0.348,12.8,22.3,17.4,8.4,1.4,2.9,13.5,12.4,0.5,0.6,1.1,0.129,-2.7,0.7,-2.1,0.0,0.386055,3.5483870967741935,1.6129032258064515,1.935483870967742,1.6,0.04032258064516129,7.005999999999999,0.24087591240875914,0.12408759124087591,6.451612903225806,9.722627737226277,2.125,3.0,25.935483870967744
Jeremiah Robinson-Earl,PF,22,OKC,43,20,18.9,2.6,5.8,0.444,0.9,2.6,0.333,1.7,3.2,0.533,0.518,0.8,1.0,0.833,1.7,2.5,4.2,1.0,0.6,0.3,0.4,1.7,6.8,12.9,0.548,0.448,0.169,9.2,14.7,11.9,7.0,1.4,1.2,6.7,14.6,1.1,0.8,1.9,0.111,-0.8,-0.7,-1.5,0.1,2.0,4.4186046511627906,2.558139534883721,1.8604651162790697,2.5,0.07534246575342467,8.0008,0.1798941798941799,0.08994708994708996,30.952380952380953,12.952380952380954,1.888888888888889,8.75,24.0
Isaiah Roby,PF,24,SAS,42,2,11.3,1.6,3.7,0.432,0.4,1.4,0.3,1.2,2.3,0.516,0.49,0.5,1.0,0.488,0.5,2.0,2.5,0.9,0.4,0.2,0.7,1.3,4.1,9.3,0.497,0.387,0.265,4.7,20.6,12.3,10.7,1.8,1.2,15.2,17.8,-0.4,0.3,-0.1,-0.011,-4.0,-0.6,-4.6,-0.3,1.930681,-0.2380952380952381,-0.9523809523809524,0.7142857142857143,1.2857142857142858,-0.02247191011235955,8.8466,0.23008849557522124,0.11504424778761062,27.450980392156865,13.061946902654865,2.1666666666666665,2.857142857142857,6.642857142857143
David Roddy,PF,21,MEM,70,4,18.0,2.6,6.0,0.429,0.9,3.0,0.307,1.6,3.0,0.553,0.506,0.6,0.9,0.631,0.7,2.0,2.8,0.8,0.4,0.3,0.8,1.5,6.7,8.8,0.519,0.505,0.155,4.2,12.0,8.1,6.1,1.1,1.4,11.3,16.7,-0.3,1.4,1.1,0.043,-3.2,-0.7,-3.9,-0.6,2.58864,1.5714285714285716,-0.4285714285714286,2.0,1.0,-0.017964071856287425,8.6673,0.15000000000000002,0.08333333333333333,33.33333333333333,13.4,2.142857142857143,4.375,17.6
Derrick Rose,PG,34,NYK,27,0,12.5,2.3,5.9,0.384,0.7,2.3,0.302,1.6,3.6,0.438,0.443,0.4,0.4,0.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6,10.1,0.463,0.396,0.075,2.6,10.4,6.5,19.9,1.0,1.4,11.8,23.6,-0.3,0.3,0.0,-0.001,-2.2,-1.5,-3.7,-0.1,14.52073,0.0,-1.1111111111111112,1.1111111111111112,2.125,-0.01271186440677966,10.926800000000002,0.136,0.055999999999999994,28.04878048780488,16.128,1.4,3.75,11.222222222222223
Terrence Ross,SG,31,TOT,63,9,21.1,3.2,7.4,0.43,1.5,4.1,0.368,1.7,3.3,0.507,0.532,0.4,0.5,0.794,0.3,2.1,2.4,1.5,0.6,0.2,0.7,1.5,8.3,10.2,0.544,0.555,0.073,1.8,11.2,6.5,10.2,1.3,0.7,8.2,16.8,0.5,1.2,1.6,0.059,-1.8,-0.3,-2.1,0.0,12.080373,2.5396825396825395,0.7936507936507936,1.9047619047619047,2.142857142857143,0.02976190476190476,9.1392,0.13744075829383887,0.07109004739336493,35.65217391304348,14.161137440758294,1.875,6.714285714285715,19.428571428571427
Terry Rozier,SG,28,CHO,63,63,35.3,7.8,18.9,0.415,2.6,8.0,0.327,5.2,10.8,0.48,0.484,2.8,3.5,0.809,0.8,3.3,4.1,5.1,1.2,0.3,2.1,1.9,21.1,14.7,0.517,0.425,0.185,2.4,10.2,6.2,22.7,1.6,0.6,9.4,26.9,0.1,1.6,1.7,0.037,0.6,-1.1,-0.6,0.8,21.486316,2.698412698412698,0.15873015873015872,2.5396825396825395,2.4285714285714284,0.003717472118959108,13.9073,0.1359773371104816,0.053824362606232294,29.739776951672862,21.518413597733716,1.2666666666666666,4.9523809523809526,37.33333333333333
Ricky Rubio,PG,32,CLE,33,2,17.2,1.8,5.4,0.343,0.6,2.5,0.256,1.2,2.9,0.417,0.402,0.8,1.1,0.8,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5,5.2,10.4,0.442,0.461,0.197,1.9,12.7,7.3,27.1,2.3,1.0,13.8,17.7,-0.2,0.9,0.7,0.062,-3.8,1.1,-2.8,-0.1,5.853659,2.121212121212121,-0.6060606060606061,2.7272727272727275,3.888888888888889,-0.01129943502824859,7.8233999999999995,0.1627906976744186,0.0872093023255814,31.645569620253163,10.88372093023256,1.5,2.6666666666666665,28.363636363636367
D'Angelo Russell,PG,26,TOT,71,71,32.5,6.3,13.4,0.469,2.7,6.9,0.396,3.5,6.5,0.548,0.572,2.5,3.0,0.829,0.5,2.5,3.0,6.2,1.0,0.4,2.6,2.0,17.8,16.3,0.605,0.517,0.228,1.7,8.5,5.2,27.4,1.4,1.1,15.1,22.7,3.1,1.9,5.1,0.106,2.2,-0.7,1.5,2.0,31.37775,7.183098591549296,4.366197183098592,2.676056338028169,2.3846153846153846,0.13656387665198239,13.7335,0.12,0.06153846153846154,33.99014778325123,19.716923076923077,1.4285714285714286,3.4615384615384612,43.61971830985916
Matt Ryan,SF,25,TOT,34,0,9.1,1.2,3.2,0.37,0.9,2.5,0.381,0.2,0.7,0.333,0.519,0.3,0.4,0.833,0.1,0.6,0.8,0.5,0.1,0.0,0.2,0.8,3.6,8.1,0.538,0.778,0.111,1.4,7.6,4.6,6.9,0.8,0.3,5.8,16.5,0.1,0.2,0.3,0.044,-1.9,-1.5,-3.4,-0.1,0.806097,0.8823529411764706,0.29411764705882354,0.5882352941176471,2.5,0.006060606060606061,8.877,0.07692307692307693,0.08791208791208792,43.859649122807014,14.241758241758243,8.0,10.5,4.764705882352941
Domantas Sabonis,C,26,SAC,79,79,34.6,7.3,11.9,0.615,0.4,1.1,0.373,6.9,10.8,0.639,0.632,4.1,5.5,0.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1,23.5,0.668,0.088,0.467,10.6,30.0,20.3,30.4,1.1,1.2,16.9,21.3,9.6,3.0,12.6,0.221,4.1,1.8,5.8,5.4,18.5,15.949367088607595,12.151898734177214,3.79746835443038,2.5172413793103448,0.45070422535211263,14.2284,0.30057803468208094,0.10115606936416184,8.461538461538462,19.8728323699422,2.692307692307692,2.6551724137931036,89.24050632911393
Dario Šarić,PF,28,TOT,57,12,14.1,2.2,4.9,0.458,0.8,2.0,0.391,1.4,2.8,0.506,0.54,1.1,1.3,0.829,0.9,2.7,3.6,1.3,0.4,0.1,1.0,1.7,6.4,13.5,0.583,0.415,0.274,7.1,21.4,14.1,12.7,1.2,0.8,15.1,19.2,0.7,1.0,1.7,0.099,-1.5,0.1,-1.4,0.1,9.24,2.982456140350877,1.2280701754385965,1.7543859649122806,1.3,0.036458333333333336,11.193599999999998,0.2269503546099291,0.12056737588652482,28.985507246376812,16.340425531914896,3.4,3.0,23.684210526315788
Admiral Schofield,PF,25,ORL,37,0,12.2,1.5,3.3,0.451,0.6,2.0,0.324,0.8,1.3,0.646,0.549,0.6,0.6,0.913,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,4.2,10.1,0.587,0.607,0.189,5.8,9.8,7.8,9.6,0.9,1.1,10.8,14.1,0.5,0.3,0.8,0.089,-2.2,-0.7,-2.9,-0.1,0.506508,2.1621621621621623,1.3513513513513513,0.8108108108108109,2.0,0.03546099290780142,8.2767,0.11475409836065575,0.13114754098360656,37.735849056603776,12.393442622950822,5.333333333333333,5.25,8.18918918918919
Dennis Schröder,PG,29,LAL,66,50,30.1,4.1,9.8,0.415,1.1,3.4,0.329,3.0,6.4,0.461,0.472,3.3,3.8,0.857,0.3,2.2,2.5,4.5,0.8,0.2,1.7,2.2,12.6,11.5,0.545,0.346,0.388,1.2,7.5,4.4,20.1,1.2,0.4,12.8,18.6,1.3,1.5,2.8,0.068,-2.4,-0.5,-2.9,-0.4,1.83609,4.242424242424242,1.96969696969697,2.272727272727273,2.6470588235294117,0.06989247311827956,10.137000000000002,0.10631229235880399,0.07308970099667775,25.757575757575758,15.069767441860463,2.2,3.0588235294117645,26.13636363636364
Alperen Şengün,C,20,HOU,75,72,28.9,5.9,10.7,0.553,0.3,0.8,0.333,5.6,9.9,0.57,0.565,2.7,3.8,0.715,3.2,5.8,9.0,3.9,0.9,0.9,2.6,3.4,14.8,19.7,0.599,0.071,0.36,12.1,22.3,17.1,21.0,1.6,3.2,17.3,21.4,3.4,1.8,5.2,0.115,1.1,0.4,1.4,1.9,3.37536,6.933333333333333,4.533333333333333,2.4,1.5,0.15887850467289721,12.818599999999998,0.2629757785467128,0.11764705882352941,6.956521739130435,18.435986159169552,1.8888888888888888,2.3846153846153846,47.279999999999994
Collin Sexton,SG,24,UTA,48,15,23.9,4.9,9.8,0.506,1.0,2.5,0.393,3.9,7.2,0.546,0.558,3.4,4.1,0.819,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,15.9,0.616,0.261,0.425,3.5,6.3,5.0,17.9,1.1,0.4,13.3,23.4,2.0,0.5,2.5,0.105,0.2,-1.5,-1.3,0.2,16.5,5.208333333333334,4.166666666666666,1.0416666666666665,1.611111111111111,0.08547008547008547,14.414399999999999,0.08786610878661087,0.09623430962343096,20.32520325203252,21.539748953974897,3.2857142857142856,3.2777777777777777,16.562499999999996
Landry Shamet,SG,25,PHO,40,9,20.2,2.8,7.5,0.377,1.9,5.0,0.377,1.0,2.5,0.376,0.502,1.1,1.3,0.882,0.3,1.4,1.7,2.3,0.7,0.1,0.9,1.5,8.7,10.9,0.537,0.663,0.17,1.5,7.9,4.6,15.7,1.6,0.6,10.0,18.9,0.5,0.7,1.2,0.071,-1.1,-0.3,-1.4,0.1,9.5,3.0,1.25,1.7499999999999998,2.5555555555555554,0.026455026455026457,10.1493,0.1089108910891089,0.07425742574257425,40.0,15.504950495049505,1.8750000000000002,5.222222222222221,19.075
Day'Ron Sharpe,C,21,BRK,48,3,11.5,1.9,3.6,0.544,0.1,0.2,0.545,1.8,3.3,0.544,0.561,0.7,1.1,0.636,2.1,2.1,4.2,0.8,0.3,0.7,0.9,1.9,4.7,17.8,0.581,0.064,0.322,20.6,20.1,20.4,9.7,1.3,5.0,17.7,19.0,0.8,0.8,1.6,0.139,-1.8,-0.6,-2.3,0.0,2.10948,3.3333333333333335,1.6666666666666667,1.6666666666666667,0.888888888888889,0.042105263157894736,11.039,0.26956521739130435,0.16521739130434782,5.263157894736842,14.71304347826087,1.9,2.2222222222222223,29.666666666666668
Shaedon Sharpe,SG,19,POR,80,15,22.2,3.8,8.1,0.472,1.3,3.5,0.36,2.6,4.6,0.559,0.551,0.9,1.3,0.714,0.8,2.2,3.0,1.2,0.5,0.3,1.0,1.7,9.9,11.5,0.568,0.437,0.162,4.0,11.3,7.6,7.9,1.0,1.2,10.7,19.0,0.6,0.6,1.2,0.032,-1.3,-2.0,-3.3,-0.6,6.01296,1.5,0.75,0.75,1.2,0.031578947368421054,10.792,0.13513513513513514,0.07657657657657657,30.17241379310345,16.054054054054056,2.125,5.1,8.625
Pascal Siakam,C,28,TOR,71,71,37.4,8.9,18.5,0.48,1.3,4.0,0.324,7.6,14.5,0.523,0.515,5.2,6.7,0.774,1.8,6.0,7.8,5.8,0.9,0.5,2.4,3.2,24.2,20.3,0.565,0.219,0.361,5.2,19.6,11.9,24.9,1.2,1.3,10.0,27.2,5.2,2.6,7.8,0.141,3.3,-0.1,3.1,3.5,35.448672,10.985915492957746,7.323943661971831,3.6619718309859155,2.4166666666666665,0.1911764705882353,15.367999999999999,0.19786096256684493,0.08556149732620322,17.77777777777778,23.294117647058826,2.285714285714286,4.250000000000001,74.33802816901408
Ben Simmons,PG,26,BRK,42,33,26.3,3.2,5.6,0.566,0.0,0.0,0.0,3.2,5.5,0.571,0.566,0.6,1.4,0.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9,13.4,0.559,0.009,0.243,4.2,22.2,13.4,31.3,2.4,1.9,27.2,14.3,0.5,1.7,2.2,0.097,-2.2,2.6,0.4,0.7,35.448672,5.238095238095238,1.1904761904761905,4.0476190476190474,2.6521739130434785,0.03496503496503496,7.993700000000001,0.27376425855513303,0.12547528517110265,0.0,9.444866920152093,1.736842105263158,1.3913043478260871,54.23809523809524
Anfernee Simons,SG,23,POR,62,62,35.0,7.5,16.9,0.447,3.4,9.1,0.377,4.1,7.8,0.528,0.548,2.6,2.9,0.894,0.3,2.3,2.6,4.1,0.7,0.2,2.1,2.3,21.1,14.8,0.581,0.538,0.171,0.9,7.6,4.3,18.6,0.9,0.6,10.2,25.1,2.1,0.3,2.5,0.054,1.3,-2.5,-1.1,0.5,22.321429,4.032258064516129,3.387096774193549,0.4838709677419355,1.952380952380952,0.08366533864541832,14.5831,0.09142857142857141,0.06571428571428571,35.0,21.702857142857145,2.555555555555556,5.190476190476191,7.161290322580646
Jericho Sims,C,24,NYK,52,16,15.6,1.6,2.1,0.776,0.0,0.0,0.0,1.6,2.0,0.783,0.776,0.2,0.3,0.75,1.9,2.8,4.7,0.5,0.3,0.5,0.5,1.8,3.4,13.8,0.78,0.009,0.15,13.3,19.4,16.4,4.0,0.9,3.2,19.1,7.4,1.6,0.9,2.6,0.153,-1.0,0.5,-0.5,0.3,1.639842,5.0,3.076923076923077,1.7307692307692308,1.0,0.21621621621621623,5.772,0.23076923076923075,0.11538461538461539,0.0,7.846153846153847,2.25,3.2,23.884615384615387
Marcus Smart,PG,28,BOS,61,61,32.1,4.1,9.9,0.415,1.9,5.6,0.336,2.2,4.3,0.519,0.511,1.4,1.9,0.746,0.8,2.4,3.1,6.3,1.5,0.4,2.3,2.8,11.5,12.1,0.538,0.568,0.196,2.6,8.0,5.3,26.4,2.3,1.0,17.9,17.8,1.0,2.7,3.7,0.092,-1.8,0.8,-1.0,0.5,17.207142,6.065573770491803,1.639344262295082,4.426229508196721,2.739130434782609,0.056179775280898875,9.576400000000001,0.13395638629283488,0.08722741433021806,36.12903225806451,12.897196261682243,1.4736842105263157,2.608695652173913,53.557377049180324
Dennis Smith Jr.,PG,25,CHO,54,15,25.7,3.4,8.4,0.412,0.4,2.1,0.216,3.0,6.3,0.475,0.438,1.4,2.0,0.736,0.5,2.6,3.1,4.8,1.4,0.5,1.5,2.3,8.8,11.6,0.475,0.246,0.235,2.0,11.0,6.4,26.1,2.6,1.6,14.1,17.6,-0.4,1.5,1.1,0.039,-3.5,1.3,-2.2,-0.1,1.83609,2.037037037037037,-0.7407407407407408,2.7777777777777777,3.1999999999999997,-0.022727272727272728,8.36,0.17509727626459146,0.08949416342412451,20.0,12.32684824902724,1.2105263157894737,2.533333333333333,32.22222222222222
Ish Smith,PG,34,DEN,43,0,9.3,1.2,3.0,0.397,0.0,0.3,0.167,1.2,2.8,0.42,0.405,0.0,0.1,0.5,0.1,1.1,1.3,2.3,0.2,0.2,1.0,0.8,2.5,6.5,0.407,0.092,0.031,1.5,13.8,7.8,32.5,1.0,1.6,24.9,19.3,-0.8,0.4,-0.5,-0.056,-5.5,-1.1,-6.6,-0.5,4.725,-1.1627906976744187,-1.8604651162790697,0.9302325581395349,2.3,-0.04145077720207254,7.8551,0.16129032258064516,0.08602150537634408,9.090909090909092,9.677419354838708,2.0,1.2,6.046511627906977
Jabari Smith Jr.,PF,19,HOU,79,79,31.0,4.6,11.3,0.408,1.5,4.9,0.307,3.1,6.3,0.487,0.475,2.1,2.6,0.786,1.5,5.7,7.2,1.3,0.5,0.9,1.3,2.9,12.8,11.2,0.514,0.438,0.231,5.4,20.3,12.7,5.9,0.9,3.0,9.6,18.4,0.5,1.4,1.9,0.037,-2.3,-1.3,-3.7,-1.1,8.88264,2.4050632911392404,0.6329113924050633,1.772151898734177,1.0,0.027173913043478264,9.4576,0.22903225806451613,0.0935483870967742,30.246913580246908,14.864516129032259,2.0714285714285716,4.692307692307692,19.84810126582278
Jalen Smith,PF,22,IND,68,31,18.8,3.6,7.5,0.476,0.8,2.8,0.283,2.8,4.7,0.593,0.53,1.5,2.0,0.759,1.9,3.9,5.8,1.0,0.3,0.9,1.1,2.3,9.4,15.9,0.565,0.376,0.27,11.2,22.9,17.1,7.6,0.8,4.0,11.2,21.0,1.1,1.1,2.3,0.085,-0.9,-1.1,-2.1,0.0,4.67016,3.3823529411764706,1.6176470588235297,1.6176470588235297,0.9090909090909091,0.05238095238095238,11.864999999999998,0.2712765957446808,0.12234042553191488,27.184466019417474,18.0,1.9166666666666665,4.0,25.720588235294123
Jeremy Sochan,PF,19,SAS,56,53,26.0,4.5,9.9,0.453,0.6,2.4,0.246,3.9,7.5,0.519,0.483,1.4,2.1,0.698,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5,11.0,11.4,0.509,0.243,0.21,6.9,15.6,11.0,13.6,1.4,1.3,13.9,19.8,-0.5,0.7,0.2,0.005,-2.8,-1.2,-4.0,-0.7,5.06352,0.35714285714285715,-0.8928571428571428,1.25,1.4705882352941178,-0.025252525252525252,10.0782,0.18461538461538465,0.09615384615384616,19.51219512195122,15.23076923076923,2.083333333333333,3.0,14.25
Jaden Springer,SG,20,PHI,16,2,5.6,1.1,2.2,0.486,0.1,0.3,0.4,0.9,1.9,0.5,0.514,0.4,0.5,0.75,0.4,0.5,0.9,0.5,0.4,0.2,0.2,0.9,2.6,17.2,0.545,0.143,0.229,8.1,10.4,9.3,13.8,3.9,3.1,7.2,20.8,0.1,0.2,0.3,0.145,-2.6,2.9,0.3,0.1,2.1252,1.875,0.625,1.25,2.5,0.004807692307692308,11.336000000000002,0.19642857142857145,0.16071428571428573,12.0,16.714285714285715,1.4999999999999998,6.000000000000001,21.5
Lamar Stevens,PF,25,CLE,62,25,18.1,2.1,4.6,0.448,0.5,1.5,0.316,1.6,3.1,0.513,0.5,0.6,0.9,0.702,0.8,2.6,3.3,0.5,0.4,0.3,0.4,1.3,5.3,9.5,0.524,0.33,0.198,5.0,16.7,10.9,4.0,1.2,1.6,7.9,13.6,0.3,1.6,1.9,0.08,-3.0,0.2,-2.8,-0.2,1.782621,3.064516129032258,0.4838709677419355,2.5806451612903225,1.25,0.022058823529411766,7.1264,0.18232044198895025,0.0718232044198895,24.590163934426233,10.541436464088397,1.8571428571428574,6.5,24.516129032258064
Isaiah Stewart,C,21,DET,50,47,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3.0,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3,13.1,0.56,0.465,0.338,8.7,23.3,15.8,7.3,0.7,2.1,11.8,17.3,1.1,0.9,2.0,0.068,-1.0,-1.1,-2.1,0.0,3.43332,4.0,2.2,1.8000000000000003,1.0,0.06358381502890173,9.688,0.24381625441696114,0.09540636042402827,31.782945736434105,14.374558303886927,2.4545454545454546,3.714285714285715,23.580000000000002
Max Strus,SF,26,MIA,80,33,28.4,4.1,9.9,0.41,2.5,7.0,0.35,1.6,2.8,0.559,0.535,1.0,1.1,0.876,0.6,2.6,3.2,2.1,0.5,0.2,0.9,2.1,11.5,10.8,0.557,0.713,0.113,2.4,11.2,6.7,11.2,0.9,0.5,7.8,17.6,1.5,1.9,3.4,0.071,-0.8,-0.9,-1.7,0.2,1.815677,4.25,1.875,2.375,2.3333333333333335,0.08522727272727272,9.803200000000002,0.11619718309859155,0.073943661971831,41.42011834319527,14.577464788732396,3.0000000000000004,7.333333333333333,25.650000000000002
Jalen Suggs,PG,21,ORL,53,19,23.5,3.5,8.4,0.419,1.2,3.8,0.327,2.3,4.6,0.496,0.493,1.6,2.2,0.723,1.0,2.0,3.0,2.9,1.3,0.5,1.8,2.3,9.9,12.5,0.528,0.455,0.268,5.0,9.6,7.3,18.0,2.6,2.1,15.9,20.3,-0.2,1.5,1.4,0.053,-1.8,0.8,-1.0,0.3,6.92232,2.641509433962264,-0.37735849056603776,2.8301886792452833,1.611111111111111,-0.009852216748768473,10.7184,0.16170212765957445,0.0978723404255319,31.147540983606557,15.16595744680851,1.2777777777777777,2.611111111111111,35.37735849056604
Edmond Sumner,SG,27,BRK,53,12,13.9,2.3,5.1,0.461,0.6,1.6,0.356,1.8,3.4,0.511,0.519,1.9,2.0,0.917,0.2,1.2,1.5,1.3,0.6,0.2,0.9,1.6,7.1,14.0,0.597,0.323,0.401,2.0,9.9,6.0,13.3,2.1,1.2,13.6,22.1,0.6,0.7,1.3,0.086,-2.4,-0.2,-2.6,-0.1,1.968175,2.4528301886792456,1.1320754716981132,1.320754716981132,1.4444444444444444,0.027149321266968323,13.1937,0.14388489208633093,0.11510791366906475,23.880597014925378,18.38848920863309,2.0,3.222222222222222,18.49056603773585
