Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
100,Jared Butler,SG,22,OKC,6,77,13.0,.578,.438,.000,1.4,4.3,2.8,15.0,3.1,0.0,13.5,20.1,,0.0,0.1,0.1,.061,,-1.9,-0.4,-2.4,0.0,butleja02
101,Jimmy Butler,SF,33,MIA,64,2138,27.6,.647,.116,.625,7.5,13.3,10.3,27.1,2.7,1.0,8.2,25.6,,9.4,2.9,12.3,.277,,6.7,2.0,8.7,5.8,butleji01
102,John Butler,C,20,POR,19,221,5.7,.411,.660,.075,1.5,7.3,4.4,6.5,1.5,3.6,1.8,11.0,,-0.1,0.1,0.0,.001,,-5.4,-0.8,-6.2,-0.2,butlejo01
103,Jamal Cain,SF,23,MIA,18,240,16.5,.647,.303,.333,7.1,18.7,12.7,7.6,2.3,0.4,7.3,15.1,,0.5,0.3,0.8,.169,,-0.5,1.4,0.9,0.2,cainja01
104,Kentavious Caldwell-Pope,SG,29,DEN,76,2381,11.5,.598,.505,.198,1.7,8.1,5.0,9.8,2.3,1.3,11.1,14.1,,2.0,2.5,4.5,.091,,-1.6,0.6,-1.0,0.6,caldwke01
105,Facundo Campazzo,PG,31,DAL,8,52,7.8,.360,.846,.154,0.0,4.5,2.2,22.6,5.7,0.0,17.8,14.7,,-0.1,0.1,0.0,-0.012,,-4.8,3.6,-1.2,0.0,campafa01
106,Vlatko Čančar,PF,25,DEN,60,889,11.0,.606,.507,.181,3.2,13.1,8.3,11.5,1.2,1.4,13.1,13.8,,0.9,0.8,1.7,.093,,-1.7,-0.1,-1.8,0.0,cancavl01
107,Clint Capela,C,28,ATL,65,1730,22.1,.656,.002,.244,16.1,29.4,22.7,4.7,1.2,3.9,8.3,15.7,,4.9,2.4,7.2,.201,,2.3,-0.1,2.2,1.8,capelca01
108,Vernon Carey Jr.,C,21,WAS,11,28,10.8,.338,.000,.250,12.4,30.6,21.8,13.3,3.5,6.0,18.4,16.9,,-0.1,0.1,0.0,.014,,-7.1,2.1,-5.0,0.0,careyve01
109,Jevon Carter,PG,27,MIL,81,1810,10.9,.560,.596,.067,2.1,9.3,5.8,14.5,1.7,1.3,11.8,15.3,,1.2,2.3,3.5,.092,,-1.8,1.2,-0.6,0.6,carteje01
110,Wendell Carter Jr.,C,23,ORL,57,1690,17.3,.621,.367,.318,8.0,25.3,16.6,12.0,0.9,1.9,13.2,20.5,,2.6,2.0,4.6,.130,,0.9,0.1,1.0,1.3,cartewe01
111,Michael Carter-Williams,PG,31,ORL,4,44,9.0,.498,.214,.500,2.6,10.3,6.4,22.6,1.1,2.2,19.0,20.6,,0.0,0.0,0.0,-0.003,,-5.1,-1.2,-6.3,0.0,cartemi01
112,Alex Caruso,PG,28,CHI,67,1575,11.5,.588,.528,.255,3.1,10.9,7.1,15.4,3.0,2.8,19.5,11.1,,1.0,2.6,3.6,.109,,-2.2,3.3,1.1,1.2,carusal01
