Rk,Player,Tm,Salary 2022-23
386,Cody Zeller,UTA,"$517,060"
387,Juan Toscano-Anderson,UTA,"$1,836,090"
388,Juancho Hernangómez,TOR,"$1,836,090"
389,Matthew Dellavedova,SAC,"$1,836,090"
390,Ryan Arcidiacono,POR,"$1,836,090"
391,Drew Eubanks,POR,"$1,836,090"
392,Damion Lee,PHO,"$1,836,090"
393,Josh Okogie,PHO,"$1,836,090"
394,T.J. Warren,PHO,"$1,836,090"
395,Bismack Biyombo,PHO,"$1,836,090"
396,Skylar Mays,PHI,
397,Jay Scrubb,ORL,
398,Jahmi'us Ramsey,OKC,
399,Robert Woodard II,OKC,
400,Justin Jackson,OKC,"$1,836,090"
401,Isaiah Joe,OKC,"$1,836,090"
402,Kelan Martin,NOP,
403,Bryn Forbes,MIN,"$1,836,090"
404,Nathan Knight,MIN,"$1,836,090"
405,Austin Rivers,MIN,"$1,836,090"
406,Wesley Matthews,MIL,"$1,836,090"
407,Udonis Haslem,MIA,"$1,836,090"
408,Shaquille Harrison,LAL,
409,Dennis Schröder,LAL,"$1,836,090"
410,Troy Brown Jr.,LAL,"$1,836,090"
411,Malik Fitts,LAC,"$555,217"
412,Serge Ibaka,IND,"$1,836,090"
413,Frank Kaminsky,HOU,"$1,836,090"
414,Andre Iguodala,GSW,"$1,836,090"
415,JaMychal Green,GSW,"$10,036,090"
416,Rodney McGruder,DET,"$1,836,090"
417,DeAndre Jordan,DEN,"$9,663,997"
418,Thomas Bryant,DEN,"$1,836,090"
419,Markieff Morris,DAL,"$1,836,090"
420,Theo Pinson,DAL,"$1,836,090"
421,Robin Lopez,CLE,"$1,836,090"
422,Raul Neto,CLE,"$1,836,090"
423,Dennis Smith Jr.,CHO,"$1,836,090"
424,Svi Mykhailiuk,CHO,"$3,714,810"
425,Goran Dragić,CHI,"$2,226,523"
426,Yuta Watanabe,BRK,"$1,836,090"
427,Luka Šamanić,BOS,
428,Blake Griffin,BOS,"$1,836,090"
429,Aaron Holiday,ATL,"$1,836,090"
430,Gabe Vincent,MIA,"$1,815,677"
431,Max Strus,MIA,"$1,815,677"
432,Javonte Green,CHI,"$1,815,677"
433,Herbert Jones,NOP,"$1,785,000"
434,Vernon Carey Jr.,WAS,"$1,782,621"
435,Tre Jones,SAS,"$1,782,621"
436,Paul Reed,PHI,"$1,782,621"
437,Naji Marshall,NOP,"$1,782,621"
438,Xavier Tillman Sr.,MEM,"$1,782,621"
439,Kenyon Martin Jr.,HOU,"$1,782,621"
440,Lamar Stevens,CLE,"$1,782,621"
441,Nick Richards,CHO,"$1,782,621"
442,Saben Lee,UTA,"$1,752,638"
443,Devin Cannady,ORL,"$1,752,638"
444,Omer Yurtseven,MIA,"$1,752,638"
445,Haywood Highsmith,MIA,"$1,752,638"
446,Jericho Sims,NYK,"$1,639,842"
447,Sam Hauser,BOS,"$1,637,966"
448,Kessler Edwards,SAC,"$1,637,966"
449,Mac McClung,PHI,"$1,637,966"
450,Lindell Wigginton,MIL,
451,Jay Huff,LAL,
452,Gabe York,IND,
453,Mac McClung,GSW,"$1,637,966"
454,Xavier Sneed,CHO,
455,Isaiah Todd,WAS,"$1,575,000"
456,Trendon Watford,POR,"$1,563,518"
457,Jared Butler,UTA,"$1,563,518"
458,Dalano Banton,TOR,"$1,563,518"
459,Greg Brown III,POR,"$1,563,518"
460,Jock Landale,PHO,"$1,563,518"
461,Aaron Wiggins,OKC,"$1,563,518"
462,Miles McBride,NYK,"$1,563,518"
463,John Butler,NOP,
464,Jose Alvarado,NOP,"$1,563,518"
465,Austin Reaves,LAL,"$1,563,518"
466,Jason Preston,LAC,"$1,563,518"
467,Brandon Boston Jr.,LAC,"$1,563,518"
468,Terry Taylor,IND,"$1,563,518"
469,Daishen Nix,HOU,"$1,563,518"
470,Isaiah Livers,DET,"$1,563,518"
471,JT Thor,CHO,"$1,563,518"
472,Ayo Dosunmu,CHI,"$1,563,518"
473,Marko Simonovic,CHI,"$1,563,518"
474,Vit Krejci,ATL,"$1,563,518"
475,Christian Koloko,TOR,"$1,500,000"
476,Eric Bledsoe,POR,"$1,300,000"
477,Stanley Johnson,SAS,"$3,596,685"
478,Kennedy Chandler,MEM,"$1,200,000"
479,Noah Vonleh,SAS,"$1,160,955"
480,Bryce McGowens,CHO,"$1,075,000"
481,Jaden Hardy,DAL,"$1,017,781"
482,Josh Minott,MIN,"$1,017,781"
483,Max Christie,LAL,"$1,017,781"
484,Ryan Rollins,GSW,"$1,017,781"
485,RaiQuan Gray,BRK,
486,RaiQuan Gray,BRK,
487,Jabari Walker,POR,"$1,017,781"
488,Quenton Jackson,WAS,
489,Jeenathan Williams,UTA,
490,Nuni Omot,NYK,
491,Jacob Gilyard,MEM,
492,Donovan Williams,BRK,
493,Jared Rhoden,ATL,
494,Tyrese Martin,ATL,"$1,017,781"
495,Kyle Singler,OKC,"$999,200"
496,Jordan Goodwin,WAS,"$900,000"
497,Sam Merrill,CLE,"$1,000,000"
498,Justin Champagnie,TOR,
499,Kris Dunn,UTA,"$735,819"
500,Nik Stauskas,IND,"$702,311"
501,Kemba Walker,DAL,"$37,281,261"
502,Michael Carter-Williams,ORL,"$652,829"
503,Gorgui Dieng,SAS,"$2,458,672"
504,Goga Bitadze,ORL,"$5,377,520"
505,Boban Marjanović,HOU,"$4,101,478"
506,James Johnson,IND,"$2,427,016"
507,Terrence Ross,PHO,"$12,080,373"
508,Dewayne Dedmon,PHI,"$8,147,040"
509,Reggie Jackson,DEN,"$11,795,633"
510,Juwan Morgan,IND,"$576,230"
511,Justin Holiday,DAL,"$6,862,261"
512,Eugene Omoruyi,OKC,"$555,402"
513,Malik Fitts,IND,"$555,217"
514,Joe Wieskamp,TOR,"$2,720,989"
515,PJ Dozier,SAC,"$539,450"
516,Cody Zeller,MIA,"$517,060"
517,Admiral Schofield,ORL,"$506,508"
518,Patrick Beverley,CHI,"$13,506,508"
519,Chima Moneke,SAC,"$500,000"
520,Russell Westbrook,LAC,"$47,559,433"
521,R.J. Hampton,DET,"$2,898,243"
522,Ish Wainright,PHO,"$474,851"
523,Matt Ryan,LAL,
524,Will Barton,TOR,"$14,807,642"
525,Goran Dragić,MIL,"$2,226,523"
526,Sandro Mamukelashvili,SAS,"$357,717"
527,Carlik Jones,CHI,"$357,717"
528,D.J. Augustin,HOU,"$333,333"
529,Trevelin Queen,PHI,"$330,000"
530,Meyers Leonard,MIL,"$105,522"
531,Didi Louzada,POR,"$268,032"
532,Anthony Lamb,GSW,"$253,254"
533,D.J. Wilson,TOR,"$250,000"
534,Alize Johnson,SAS,"$192,293"
535,Sam Merrill,SAC,"$1,000,000"
536,Xavier Cooks,WAS,"$140,384"
537,Ish Wainright,TOR,"$474,851"
538,Troy Williams,HOU,"$122,741"
539,Gorgui Dieng,SAS,"$2,458,672"
540,Gorgui Dieng,SAS,"$2,458,672"
541,Willie Cauley-Stein,HOU,
542,Sam Merrill,CLE,"$1,000,000"
543,Kris Dunn,UTA,"$735,819"
544,Kris Dunn,UTA,"$735,819"
545,PJ Dozier,SAC,"$539,450"
546,PJ Dozier,SAC,"$539,450"
547,Meyers Leonard,MIL,"$105,522"
548,Meyers Leonard,MIL,"$105,522"
549,Saben Lee,PHO,"$1,752,638"
550,Saben Lee,PHO,"$1,752,638"
551,DaQuan Jeffries,NYK,
552,DaQuan Jeffries,NYK,
553,Sterling Brown,LAL,"$3,000,000"
554,Moses Brown,BRK,
555,Nerlens Noel,BRK,"$9,240,000"
556,Derrick Favors,ATL,"$10,183,800"
557,Joe Wieskamp,TOR,"$2,720,989"
558,Joe Wieskamp,TOR,"$2,720,989"
559,Eugene Omoruyi,DET,"$555,402"
560,Eugene Omoruyi,DET,"$555,402"
561,Demetrius Jackson,BOS,"$92,857"
562,Charles Bassey,PHI,"$2,674,742"
563,Trevor Keels,NYK,
564,Lester Quinones,GSW,
565,Stanley Umude,DET,"$58,493"
566,Saben Lee,TOR,"$1,752,638"
