,,22/23,23/24,24/25,25/26,26/27,27/28
349,Juan Toscano-Anderson,2133278,0,0,0,0,0
349,Damion Lee,2133278,0,0,0,0,0
353,Desmond Bane,2130240,3845083,5767625,0,0,0
354,Jaden Springer,2125200,2226240,4018363,5987361,0,0
355,Day'Ron Sharpe,2109480,2210040,3989122,5983683,0,0
356,Santiago Aldama,2094120,2194200,3960531,5940797,0,0
357,Tony Bradley,2036318,0,0,0,0,0
357,Frank Ntilikina,2036318,0,0,0,0,0
359,Kenrich Williams,2000000,6175000,6669000,7163000,7163000,0
359,Garrison Mathews,2000000,2000000,2230253,0,0,0
359,Jaylin Williams,2000000,2000000,2019699,2187699,0,0
359,Jeremiah Robinson-Earl,2000000,1900000,1988598,0,0,0
363,Shake Milton,1997718,0,0,0,0,0
364,Edmond Sumner,1968175,2239943,0,0,0,0
364,Aaron Holiday,1968175,0,0,0,0,0
364,Theo Pinson,1968175,0,0,0,0,0
364,Troy Brown,1968175,0,0,0,0,0
364,Thomas Bryant,1968175,0,0,0,0,0
364,Josh Okogie,1968175,0,0,0,0,0
364,Drew Eubanks,1968175,0,0,0,0,0
371,Daniel Gafford,1930681,12402000,13394160,14386320,0,0
371,Terance Mann,1930681,10576923,11423077,0,0,0
371,Jalen McDaniels,1930681,0,0,0,0,0
371,Dean Wade,1930681,0,0,0,0,0
371,Jaylen Nowell,1930681,0,0,0,0,0
371,Naz Reid,1930681,0,0,0,0,0
371,Isaiah Roby,1930681,0,0,0,0,0
378,Chimezie Metu,1910860,0,0,0,0,0
379,Davon Reed,1902133,2066585,0,0,0,0
379,Bruno Fernando,1902133,0,0,0,0,0
379,Moses Brown,1902133,0,0,0,0,0
379,Norvel Pelle,1902133,0,0,0,0,0
383,Killian Tillie,1901625,0,0,0,0,0
384,Theo Maledon,1900000,1930681,0,0,0,0
385,Wenyen Gabriel,1878720,0,0,0,0,0
385,Thanasis Antetokounmpo,1878720,0,0,0,0,0
385,Moritz Wagner,1878720,0,0,0,0,0
385,Keita Bates-Diop,1878720,0,0,0,0,0
385,Sviatoslav Mykhailiuk,1878720,0,0,0,0,0
390,Didi Louzada,1876222,1965566,2057646,0,0,0
391,Oshae Brissett,1846738,0,0,0,0,0
392,Sam Merrill,1836090,1997238,0,0,0,0
392,Anthony Gill,1836090,1997238,0,0,0,0
392,Luca Vildoza,1836090,0,0,0,0,0
392,CJ Elleby,1836090,0,0,0,0,0
392,Nathan Knight,1836090,1997238,0,0,0,0
397,Javonte Green,1815677,0,0,0,0,0
397,Max Strus,1815677,0,0,0,0,0
397,Gabe Vincent,1815677,0,0,0,0,0
400,Herb Jones,1785000,1836096,0,0,0,0
401,Lamar Stevens,1782621,1930681,0,0,0,0
401,KJ Martin,1782621,1930681,0,0,0,0
401,Nick Richards,1782621,0,0,0,0,0
401,Tyrell Terry,1782621,0,0,0,0,0
401,Xavier Tillman,1782621,1930681,0,0,0,0
401,Naji Marshall,1782621,1930681,0,0,0,0
401,Isaiah Joe,1782621,0,0,0,0,0
401,Paul Reed,1782621,0,0,0,0,0
401,Tre Jones,1782621,0,0,0,0,0
401,Vernon Carey,1782621,1930681,0,0,0,0
411,Devin Cannady,1752638,1902137,0,0,0,0
411,Saben Lee,1752638,1902137,0,0,0,0
411,Omer Yurtseven,1752638,0,0,0,0,0
414,Jericho Sims,1639842,1927896,2092344,0,0,0
415,Sam Hauser,1637966,1927896,2092344,0,0,0
415,Trevelin Queen,1637966,1927896,0,0,0,0
415,Justin Champagnie,1637966,1927896,0,0,0,0
415,Kessler Edwards,1637966,1927896,0,0,0,0
415,McKinley Wright,1637966,0,0,0,0,0
415,Mac McClung,1637966,0,0,0,0,0
415,Xavier Moon,1637966,0,0,0,0,0
415,Jay Huff,1637966,0,0,0,0,0
415,Lindell Wigginton,1637966,0,0,0,0,0
424,Isaiah Todd,1575000,1836096,1988598,0,0,0
425,JT Thor,1563518,1836096,1988598,0,0,0
425,Marko Simonovic,1563518,1836096,0,0,0,0
425,Terry Taylor,1563518,1836096,0,0,0,0
425,BJ Boston,1563518,1836096,0,0,0,0
425,Jason Preston,1563518,1836096,0,0,0,0
425,Vit Krejci,1563518,1836096,1988598,0,0,0
425,Aaron Wiggins,1563518,1836096,1988598,0,0,0
425,Charles Bassey,1563518,1836096,0,0,0,0
425,Trendon Watford,1563518,1836096,1988598,0,0,0
425,Ayo Dosunmu,1563518,0,0,0,0,0
425,Isaiah Livers,1563518,1836096,0,0,0,0
425,Daishen Nix,1563518,1836096,1988598,0,0,0
425,Austin Reaves,1563518,0,0,0,0,0
425,Jose Alvarado,1563518,1836096,1988598,0,0,0
425,Miles McBride,1563518,1836096,0,0,0,0
425,Jock Landale,1563518,0,0,0,0,0
425,Greg Brown,1563518,1836096,0,0,0,0
425,Dalano Banton,1563518,0,0,0,0,0
425,Jared Butler,1563518,0,0,0,0,0
444,Eric Bledsoe,1300000,1300000,1300000,0,0,0
445,Kennedy Chandler,1200000,1719864,2019699,2187699,0,0
446,Zhaire Smith,1068200,0,0,0,0,0
447,Tyrese Martin,1017781,1719864,0,0,0,0
447,Jaden Hardy,1017781,1719864,2019699,0,0,0
447,Ryan Rollins,1017781,1719864,2019699,0,0,0
